85353,"Bulgaria: Supreme Court shuts down smartphone car service Uber ","127578,128226,128319,132779,132972,132999,133835,133855,134229,134251,134460,134461,134847,134958,134963,134964"
82824,"Law for guaranteeing workers' and employees' receivables in the eve...","111814,122139,141294,145566,146147,146903,147921,148097,148259,148261,148448,149078,150260,152170",05:59:03
82825,"Wage Guarantee Act","111815,124451,128446,141293,146364,148794,148869,149057,149167,150450,151061",05:59:21
82827,"National Guarantee Fund (NGF)","111817,141296,144961,146139",05:59:36
82830,"Working Conditions Fund","111820,141297,146140,146873,147922,148051,148223",05:59:42
82838,"Enterprise Ireland","111828,141305,144116,145635,146066,146307,146362,146976,147082,147085,147095,147312,147551",05:59:51
82840,"Quarterly National Household Survey","111830,141291,144458,146127,146289,147253,147262,147309,147558,148367",06:00:10
82841,"Secured voluntary mobility ","111831,138763,146564,147588,148184,148347,148537,148966,149288,150062",06:00:21
82842,"Internal mobility agreements","111832,122593,141284,147390,148360",06:00:32
82844,"Extension of working time","111834,120850,122144,141281,144954,146866,147920,148104",06:00:39
82850,"Technological Information Centres' (TIC) counselling and informatio...","111840,141285,144452,145040,145041,145042,145518,149438,149440,149523,149782,149795,150009,150010",06:00:49
82851,"Centres for Educational and Professional Qualifications","111841,141286,144551,144552,144553,145469,146232,147165,147373,147825,148039,152787",06:01:10
82855,"Work Compensation Fund (FCT) and Guarantee Fund for Work Compensati...","111845,133441,139706,145802,146262,146469,147853,149086,149837,150148,153047,153392",06:01:26
82856,"System for Companies Recovery by Extrajudicial Way","111846,122595,123093,125370,126345,141287,144550,144558,145799,146220,147354,147372,147834,149845,150104,150139,152797",06:01:40
82857,"Special Revitalisation Process","111847,122597,141289,144548,144549,144554,145800,146217,146218,147192,147210,147371,148048,152791,152868,152869",06:02:00
82864,"Aspi benefit","111854,141280,144681,145161,148653,148717,148729,149046,149539,149748",06:02:21
82882,"Measures for the promotion of micro enterprises","111872,141277,144849",06:02:35
82885,"Temporary sublease of employees","111875,136238,147218,148158,148650,148651",06:02:40
82887,"Employment Observatory - RETEL","111877,141276,144734,145239,147190,148165",06:02:49
82889,"Temporary lay offs of salaried employees","111879,136115,141267,148488,148492,148494,148526,148570,148571,148629,148643",06:02:56
82890,"Rotating employment","111880,122601,136116,141266,148497,148498,148501,148505,148506,148523,148642,148688,149520",06:03:10
83770,"List of contracts awarded in 2014","115374,115375,115376",06:03:26
83826,"Social inclusion of young people","115718,115723,115733,115734,115736,115739,115741,115891,121756,121810,121818,123730,123732,123904,123906,125393,125395,128680,128681,128682,128686,128687,128693,128695,128718,128719",06:03:27
83827,"Exploring the diversity of NEETs","115721,115738,115890,121757,121804,121805,121806,121807,121809,121815,121817,125394,133438,143057,145545",06:03:37
83836,"Goodyear Dunlop Tyres UK","115787,115788,115789,115965,116239,116597,154644",06:03:40
83886,"Eurofound and the Network of EU decentralised Agencies","116139,116140,116141,116142,116145,116146,116148,116149,121499,121500,121501,121503,121516,121667,121929,121976,121977,121978,121980,121981,121982,121983,121984,121985,121986,121987,137234,137250,139352,139353,139354,139355,140301,140302,140307,140313,140521,140522,140523,140524,140525",06:03:48
84344,"Developments in collectively agreed pay 2014","119697,119699,119727,119754,119774,119777,119779,119787,121746,121752,121753",06:03:52
84384,"IREC 2014 - Abstracts and papers","120176,146743,146744,146746",06:04:01
84528,"The gender employment gap - challenges and solutions","121762,121813,121814,121816,140836,151796,151798",06:04:01
84546,"European Industrial Relations Dictionary - Free movement of workers","122112,122486,122487,122488,122491",06:04:03
84547,"European Industrial Relations Dictionary - Individual employment relations","122115,122478,122479,122480,122481,122482",06:04:04
84592,"European Industrial Relations Dictionary - Collective industrial relations","122367,122369,122370,122395,122424,122435,122468,122469",06:04:05
84696,"Fund for ensuring workers’ claims in the event of an employer’s","123316,141275,145699,148508,148538,148658,148750",06:04:07
84869,"Financial information 2015","124474,124475,124477,139603,139620,139742,139745,139751,139777,139778,139792,141118,141214,141795",06:04:16
84977,"RSS feeds","125208,125209,125333,126131,126132,126149,157460,157461",06:04:20
85202,"EWCS 2015 - Questionnaire translation: language versions","126626,126628,126629,128059,128060,128290,132276,132612,147049,147050",06:04:20
85353,"Bulgaria: Supreme Court shuts down smartphone car service Uber ","127578,128226,128319,132779,132972,132999,133835,133855,134229,134251,134460,134461,134847,134958,134963,134964",06:04:28
85434,"EWCS 2015 - Questionnaire","128048,128052,128066,128162,128268,128274,128286,128302,128303,128436,148977,148980,148982,148984,148986,148987,149696",06:04:45
85435,"EWCS 2015 - Questionnaire development","128055,128163,128275,128288,149691",06:04:47
85436,"EWCS 2015 - Questionnaire translation","128056,128061,128289,129615,147047,147048,148978",06:04:47
85458,"EWCS 2015 – Methodology","128224,128232,128267,128287",06:04:47
85493,"EWCS 2015 - Infographic","128359,128360,128363,128364,128365,128509",06:04:48
88992,"Improving company performance by investing in people","152799,152800,152802,152803,152805,152807,152808,153007,153161",06:04:48
